Iteración, tamaño, formato, id, enviadas, recibidas
1, 5,.jpg, -2043582617, 29, 29
1, 5,.jpg, 786346302, 31, 31
1, 5,.jpg, -869108866, 22, 21
1, 5,.jpg, 920844403, 29, 29
1, 5,.jpg, 2096577719, 26, 26
1, 5,.jpg, -1379990354, 22, 21
1, 5,.jpg, -752490209, 28, 28
1, 5,.jpg, 782019504, 26, 26
1, 5,.jpg, 1489065420, 27, 27
1, 5,.jpg, -1863673861, 27, 27
1, 5,.jpg, 355779448, 18, 16
1, 5,.png, 1843482217, 26, 25
1, 5,.png, 130029019, 25, 24
1, 5,.png, 537242007, 27, 27
1, 5,.png, 112235203, 26, 26
1, 5,.png, -1730404094, 25, 25
1, 5,.png, -328125314, 33, 33
1, 5,.png, -411043556, 29, 29
1, 5,.png, 535397233, 33, 33
1, 5,.png, -480170610, 23, 22
1, 5,.png, 78808468, 29, 29
1, 5,.png, 480812852, 28, 28
1, 5,.png, 309645372, 28, 28
1, 5,.png, 160859947, 30, 30
1, 5,.png, -1362293819, 27, 26
1, 5,.png, -1615530922, 33, 33
1, 0,.jpg, -129186329, 536, 536
1, 0,.jpg, -2028283968, 484, 484
1, 0,.jpg, -311055760, 584, 584
1, 0,.jpg, -1539430693, 562, 562
1, 0,.jpg, 370099901, 522, 522
1, 0,.jpg, -1679014184, 601, 601
1, 0,.jpg, 743518409, 557, 557
1, 0,.jpg, 1596915711, 604, 604
1, 0,.jpg, -1453105602, 500, 500
1, 0,.jpg, -1541424755, 470, 470
1, 0,.jpg, 1905786690, 541, 541
1, 0,.jpg, -1477468118, 520, 520
1, 0,.jpg, -779405370, 524, 524
1, 0,.jpg, -906945514, 499, 499
1, 0,.jpg, 416548826, 546, 546
1, 0,.jpg, 1969175197, 550, 550
1, 0,.jpg, -1941024666, 542, 542
1, 0,.jpg, -454299886, 567, 567
1, 0,.jpg, -403331253, 526, 526
1, 0,.jpg, -2079142417, 535, 535
1, 0,.jpg, 495565116, 551, 551
1, 0,.jpg, -800929025, 501, 501
1, 0,.jpg, -693954140, 504, 504
1, 0,.jpg, -1928806854, 505, 505
1, 0,.jpg, -1256690693, 477, 477
1, 0,.jpg, 1267994228, 537, 537
1, 0,.jpg, 2035955587, 566, 566
1, 0,.jpg, 788454592, 486, 486
1, 0,.jpg, -746363551, 498, 498
1, 0,.jpg, -1646444724, 487, 487
1, 0,.png, -653199370, 457, 457
1, 0,.png, 226562541, 469, 469
1, 0,.png, 1385299440, 462, 462
